hash,from,to,value,gas_price
29c40868b1815c16e0a59bb62c11ce9bc48e989f92e229f50b85d71558022325,0xBE49Bd130e126A917dDb5FaBF7cDeB6DD9887f40,0xBBaEd797939902Fb169933180b644be7F50Cae95,0.0,18.45694987
1cde0877cc7e911948adfe58ec4855d4d8cdc0f9f75a9bc3a22f92670aeb5bee,0xbAa7A5d246d350603533903Ea37A782D91bedC5C,0x29469395eAf6f95920E59F858042f0e28D98a20B,0.0,10.443353321
01d134db17ef947a64f21046c468408a9bb1ca5044bbf90b1fffad98568df5f1,0x4F92896D132D75b966Dd7b4BDcF13BaB9b070dE6,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0.12204646684857054,10.664220412
86786f36b79b7032d74804129617270cb9b899ea43e94861db03d2f140a88c13,0xBd19878Ad64CEAdBa3dc758BC2cc8Fd8642304D3,0x8CC51c532f5A71210D19d87D3d8a1E6F50AD583c,0.29261,10.561553321
9eddad6b3867361d23a7ba353b3d649109c6eb18cf3e1ad24b8ef775aa4b21d3,0x95480d3f27658E73b2785D30beb0c847D78294c7,0x9008D19f58AAbD9eD0D60971565AA8510560ab41,0.0,9.446957037
4b037f4a11869228d87a41b2f9c819b8bef956c9f844c298027707757e2801da,0xff01Bb206c8c00FD623406f35562a4f1c25328cB,0x470004CDf851E83a01D6fc54B095767Fbc7b9Fa6,0.0,15.625134036
97513a76d2190e65d34c994a70b0d7015b4173d6fddd82a008c4709ea631cd7b,0xc1c0104F8EC7cf4B2fc4f86781AA6CBD0e8A2400,0xD7f86b4b8Cae7D942340FF628F82735b7a20893a,0.0,10.561553321
4f7904eb5ec75b2540ced3266ae6a826c9fd7586b62f6581de600d6238a459d3,0x9A6102680fc0c471841c739C54df061A490D6d21,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0.09421842477997576,10.664220412
3f7395e2021552ac983613b14a3fc35bf8aed0c8afd264ca0ecac5b995d275f4,0xa01D080163ce65F4Acd9CaAF422bA2224108f126,0x5DDf30555EE9545c8982626B7E3B6F70e5c2635f,0.0,9.561553321
893ddf7fe7b635c5c67a5ec82fc5104acd6c59cfbb5d706088a6a4b9c51ece49,0x9319676078354B7d514ea8a6119977b6776c0881,0xFb50B43D8C16c26D8447820BA2467B7A4A887162,0.016787786591205184,22.0
2d83c81874c4c28f84f41345bbcfacf04a471b890234b629604f6f295219e823,0x8C5F0C15498df79772710ec8512ea569Ef85C4C0,0x8e687c6a8256c324C58a48102E4b96470A6e8e8A,0.0,9.244466883
682b1d80697caaf461f8c2875bd19db2590898221e04a6a3ef60c5a5eabd5883,0xb523170d7d9010a5046e7753eE8C814AD9eC0C05,0x0000000000000068F116a894984e2DB1123eB395,0.2787,10.443353321
47b4d7cd105ac33b59051236d709ffd1a92f30c0513185beae119b678ecb8582,0x9642b23Ed1E01Df1092B92641051881a322F5D4E,0x9625cE7753ace1fa1865A47aAe2c5C2Ce4418569,0.0,12.912670347
da4b9d6acf20cea92bab2771a8acfc159ce94a7bc3dd207d5d183ac48bd7c03c,0xB2692F4bB43219a632558EbEb7757bAde7C23837,0x1231DEB6f5749EF6cE6943a275A1D3E7486F4EaE,0.0,10.501553321
6347b65fe6fee3e059f287efa085dc5792c4fd20269867a4a866bc2853931f81,0x03cB89A35aC9AE1456bDce43ff7b192db92549Ef,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0.0,9.561553321
22ce89aa43ff16cbd3870de3d8e550652291ffcbec8d7371e6541ed918409bff,0xf52605c7b778563a5a9144EF4Dc53B57463ca2c7,0xdAC17F958D2ee523a2206206994597C13D831ec7,0.0,11.561553321
5b2501fc3e5a9d86c8e0923a6d32013923b0826ad83c2f387654b88ee673103d,0xA25e72d9007245FE228fb7878c2dBb2c7B1eCa93,0xE6f3494E839F3D3Fb36c407eB35cd85D90Dc3704,0.0,10.443353321
d0921c4722629d120486bcdb05d2b546dcc818158be57c4bb1e2cd0967ed52bc,0x20011FA1A83BBa9c8357F852EC667d8439a7da4A,0x5f9Ecf757137d5Ef4330aB72d18163c2f221befD,0.0,12.912670347
fadfb88b6fce8f7483fcf79543c7f17d156e193c9cf560ae3fa691ff134c1166,0x56d47613834EdBD855bFDeF7Fa4702DfD53C31c2,0xe4199af7E3fCaF740E03238084cf4a045D0E0265,0.0,8.905410459
8cc29a15b254fcf862ad545cbab9740d869ecf614c00d47bfea61723757031af,0x1E9997a3E8272B00ae8c00c3d3Aa15F0efD03571,0xF2478a732E5232AcD0acEF5e410e230b49b35a12,0.0,11.561553321
4c1a9b2acc75685eaffdb6a2661f4a2070afd1d1251229a59f989caa25d6b3b8,0xD54338842987cb2810433e803F59c20E94dc4221,0xF2478a732E5232AcD0acEF5e410e230b49b35a12,0.0,11.561553321
48bc5cb509d39ab048eaa204c877d8071f5d5de164c37c42f7280f277e68d7fb,0x7830c87C02e56AFf27FA8Ab1241711331FA86F43,0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43,0.0,9.561553321
db70c4a965b03419fe842d5e758b97098a10e184f6ac5ab0cd6d3afb58faddda,0x7830c87C02e56AFf27FA8Ab1241711331FA86F43,0xA9D1e08C7793af67e9d92fe308d5697FB81d3E43,0.0,9.561553321
